"index","product_name","product_id","description"
"34","Women's adidas Sport Inspired Quickspike Shoes","CL7410","These women's running-inspired shoes feature a breathable mesh upper with a comfort collar, while a moulded overlay provides lightweight support. The soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long."
"35","Women's adidas Sport Inspired Blaze Runner Shoes","CL7401","Extremely functional and subtle running-inspired shoes for women. The breathable and lightweight Knit-Mesh offer extended ventilation and comfort. Cloudfoam midsole and full Adiwear outsole provides durability."
"36","Women's adidas Sport Inspired Lite Racer CLN Shoes","EE8219","Designed with sleek lines for a minimalist look, these shoes have a light and breathable mesh upper. Pillowy cushioning delivers comfort that lasts all day."
"37","Women's adidas Sport Inspired Blaze Runner Shoes","CL7402","Extremely functional and subtle running-inspired shoes for women. The breathable and lightweight Knit-Mesh offer extended ventilation and comfort. Cloudfoam midsole and full Adiwear outsole provides durability."
"38","Women's adidas Nova Run X Shoes","EE9929","Being comfortable on your run is just as important as winning the race. These shoes combine soft, supportive Cloudfoam cushioning with a durable Adiwear outsole for comprehensive control and an energised ride. The mesh upper features a foot-hugging, no-sew fit for a locked-in feel."
"39","Women's adidas Sport Inspired Questar Flow Shoes","EE8221","Ready for the streets. These shoes borrow their modern look and feel from lightweight runners. They have a flexible knit upper with floating 3-Stripes integrated into the lacing system. Pillow-soft midsole and outsole cushioning provides all-day comfort."
"40","Women's adidas Sport Inspired Questar Flow Shoes","EE8224","Ready for the streets. These shoes borrow their modern look and feel from lightweight runners. They have a flexible knit upper with floating 3-Stripes integrated into the lacing system. Pillow-soft midsole and outsole cushioning provides all-day comfort."
"41","Women's adidas Running EnergyFalcon X Shoes","EE9941","When you dig deep to reach your goals, these running shoes offer the support and stability you need. Every step feels pillow-soft with plush cushioning and an OrthoLiteÂ® sockliner for comfort. A flowing TPU heel counter and thin support cage keep the foot centred and stable. The durable outsole is made for logging many miles."
"42","Women's adidas Running Asweego Shoes","EE8522","Shoes with flexibility and responsiveness for multisport training. These shoes have a knit textile upper that hugs the foot for a sock-like fit. Pillow-like midsole cushioning provides long-lasting comfort. Durable rubber inserts at the forefoot and heel provide added grip so you're ready for unexpected terrain."
"43","Women's adidas Running Sooraj Shoes","EE9932","Fast and sleek. Ready to go. These women's running shoes feature a streamlined, low-profile design and pillow-soft Cloudfoam cushioning for plush landings. The mesh upper delivers a speedy look in fun colours and 3-Stripes."
"44","Women's adidas Sport Inspired Questar Ride Shoes","EE8375","Inspired by modern tech runners, these women's shoes step out with unexpected style. A two-tone mesh upper keeps the feel flexible and mixes with a sculpted Cloudfoam midsole and contrast heel counter."
"45","Men's adidas Sport Inspired Run 70s Shoes","EE9798","These running-inspired shoes are designed with a mesh upper and a textile lining for flexible, all-day comfort. 3-Stripes and a rubber outsole give the shoes a stylish sign-off."
"46","Women's adidas Running Asweerun Shoes","EE8502","Aspire to greatness. These running shoes for women are made with an airy, lightweight mesh upper. The durable rubber outsole grips the pavement for added stability. A cushioned midsole brings comfort to each step."
"47","Women's adidas Sport Inspired Archivo Shoes","EF0450","A mix of modern comfort and authentic adidas heritage. These running-inspired shoes treat your feet to superior cushioning and an ultra-plush ride with a Cloudfoam midsole and soft sockliner. A sleek mesh upper features suede overlays with subtle 3-Stripes for sporty style."
"48","Women's Sport Inspired Yking 2.0 Shoes","CL7375","These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability."
"49","Women's adidas Sport Inspired Archivo Shoes","EF0446","A mix of modern comfort and authentic adidas heritage. These running-inspired shoes treat your feet to superior cushioning and an ultra-plush ride with a Cloudfoam midsole and soft sockliner. A sleek mesh upper features suede overlays with subtle 3-Stripes for sporty style."
"50","Women's adidas Running Response Trail X Shoes","EF0529","When the road turns to trail, all that matters is what lies ahead. These running shoes deliver a plush ride and confident grip in a fresh, sporty look. Cloudfoam cushioning feels ultra-soft while the aggressive outsole grabs on in all directions. The multilayer upper and sleek 3-Stripes elevate your look when you get back to town."
"51","Women's adidas Running EnergyFalcon X Shoes","EE9940","When you dig deep to reach your goals, these running shoes offer the support and stability you need. Every step feels pillow-soft with plush cushioning and an OrthoLiteÂ® sockliner for comfort. A flowing TPU heel counter and thin support cage keep the foot centred and stable. The durable outsole is made for logging many miles."
"52","Women's adidas Originals Marathon Tech Shoes","EE4954","These shoes draft off the Marathon TR, a trail-running pioneer that debuted in 1979. The upper mixes breathable mesh and suede overlays with metallic details. A grid print on the midsole highlights the addition of responsive Boost cushioning."
"54","Men's adidas Sport Inspired Drogo Shoes","CL4156","The adidas running-inspired shoes for men. An excellent combination of breathable Mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run. Durable and non slippery one piece super grip EVA midsole and outsole ensures maximum stability and grip on the ground."
"55","Women's adidas Originals Stan Smith Shoes","EE4893","Since it first hit the courts in the early '70s, the Stan Smith has become legendary for its timeless style. These shoes pay tribute to the iconic design by preserving the low-profile cupsole and perforated 3-Stripes. The allover floral print on the upper gives this version a fresh twist."
"56","Women's adidas Running Sooraj Shoes","EE9937","Fast and sleek. Ready to go. These women's running shoes feature a streamlined, low-profile design and pillow-soft Cloudfoam cushioning for plush landings. The mesh upper delivers a speedy look in fun colours and 3-Stripes."
"57","Women's adidas Originals U_Path Run Shoes","G27649","The U_Path offers a sleek combination of retro and modern. These shoes are built of soft, breathable mesh for everyday wear. The unique D-ring lacing system is inspired by a '70s running sneaker design. A bungee heel piece provides support, and a lightweight EVA midsole adds all-day wearability."
"58","Men's adidas Sport Inspired Run 70s Shoes","EE9797","These running-inspired shoes are designed with a mesh upper and a textile lining for flexible, all-day comfort. 3-Stripes and a rubber outsole give the shoes a stylish sign-off."
"59","Men's adidas Running Nayo 1.0 shoes","CI9914","The adidas Nayo 1.0 shoes for men. These lightweight running shoes give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability while the Light strike EVA midsole provides premium cushioning's. Full Rubber outsole provides durability."
"60","Men's adidas Sports Inspired Lite Racer Shoes","EE8252","The ultra-lightweight build of these shoes takes a running-inspired style to the streets. The sporty look has a breathable and durable mesh upper with stitched-on 3-Stripes. EVA cushioning provides lightweight comfort for every step."
"61","Men's adidas Running Nepton 2.0 Shoes","CK9664","Sleek design with reflective three stripes makes it a contemporary yet functional shoe. Breathable textile upper for maximum ventilation and a cushioned midsole provides all-day comfort with rubber outsole for best durability in high wear areas."
"62","Women's adidas Running Aseerun Shoes","EE8501","Aspire to greatness. These running shoes for women are made with an airy, lightweight mesh upper. The durable rubber outsole grips the pavement for added stability. A cushioned midsole brings comfort to each step."
"63","Men's adidas Running Torik Shoes","CL7602","A well cushioned shoe with a fresher look that will appeal to young runners. Features Mesh upper for maximum ventilation, lightstrike IMEVA midsole with visible adiprene providing protection from harmful impact forces and durable Rubber outsole for long-lasting wear."
"64","Men's adidas Sport Inspired Kalus 1.0 Shoes","CL7494","A well cushioned running-inspired shoes with a fresher look that will appeal to all. Features Mesh upper for maximum ventilation, lightstrike IMEVA midsole with visible adiprene providing protection from harmful impact forces and durable Rubber outsole for long-lasting wear."
"65","Men's adidas Running Duramo 9 Shoes","EE7923","These men's running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride."
"66","Women's adidas Originals Continental 80 Shoes","EE5566","The Continental 80 is an authentic reissue of an indoor sneaker from the '80s. These leather low top shoes show off a swooping stripe on the side and a split rubber cupsole."
"67","MEN'S adidas RUNNING YAMO 1.0 SHOES","CI1821","The adidas Yamo 1.0 shoes for men. These lightweight running shoes have a combination of Synthetic with double layer Mesh ensure breathability and durability while the Lightstrike EVA midsole provides premium cushionings. Full Rubber outsole provides durability."
"68","men's ADIDAS RUNNING NEBULAR 1.0 SHOES","CJ0082","The premium looking adidas Nebular 1.0 Running shoes for men crafted with Mesh overlays which make it lightweight. The breathable sandwich Mesh offer extended ventilation and comfort. Light strike IMEVA midsole with full Rubber outsole provides durability."
"69","MEN'S ADIDAS RUNNING LEGUS SHOES","CJ8062","Get maximum support, comfort and a refreshed look with these adidas Legus shoes for men. The textile mesh upper is breathable and has a sock-like fit and the supportive cage in the shoe's midfoot provides midfoot lockdown. CLOUDFOAM gives instant step in-comfort, long-lasting responsive cushioning and a super-plush feel and the Rubber outsole gives ultimate durability."
"70","Men's adidas Originals Supercourt Shoes","EE6038","The Supercourt distills 40 years of adidas tennis style. This version of the classic low-profile shoes has perforated 3-Stripes on a crisp leather upper. Decorative stitching and overlays add texture and depth for a multilayered look."
"71","Men's adidas Toe Side II Slippers","CM0068","The adidas casual sandals for men with a striking camouflage design. Features stylish webbing straps, Diecut EVA midsole for stable cushioning and abrasion resistant rubber outsole with wet and dry traction pattern."
"72","Men's adidas Outdoor Elevate Sandals","CK9830","Stylish and sleek adidas sandals for women are extremely lightweight. Adjustable straps enable optimal fit while the Synthetic upper and soft EVA footbed with fitted heel provide enhanced comfort. Rubber outsole with wet and dry traction pattern keeps you in control."
"73","men's ADIDAS RUNNING NEBULAR 1.0 SHOES","CJ0080","The premium looking adidas Nebular 1.0 Running shoes for men crafted with Mesh overlays which make it lightweight. The breathable sandwich Mesh offer extended ventilation and comfort. Light strike IMEVA midsole with full Rubber outsole provides durability."
"74","Men's adidas Originals Superstar Shoes","EG4957","These trainers born in the '70s keep the look classic with a coated leather upper. They feature all the authentic details, including zigzag edging on the tonal 3-Stripes and the signature rubber shell toe."
"75","Men's adidas Originals Stan Smith Shoes","BD7438","The chic minimalism of the Stan Smith invites endless variation. These men's shoes are updated for the season with a subtle twist. A small cutout Trefoil makes a surprise appearance on the smooth leather upper."
"76","Men's adidas Sport Inspired Duramo Lite 2.0 Shoes","B75579","Refine your interval training in these men's versatile running-inspired shoes. Featuring a lightweight mesh and synthetic upper, they combine responsive midsole cushioning with a soft collar that reduces ankle pressure."
"77","Men's adidas Swim Ozor III Slippers","CM0057","The simple and stylish adidas Ozor III slippers for men. Best suited to match with your swimwear, these printed slippers have a soft footbed for additional comfort for your feet while the Synthetic strap with vents provides breathability proper fitting."
"78","Men's adidas Swim Gadi Slippers","CL0206","These thongs are primed for warm-weather fun in a simple design with an urban inspired city graphic print on footbed and adidas brading featured on heel and strap."
"79","MEN'S ADIDAS RUNNING LEGUS SHOES","CJ8058","Get maximum support, comfort and a refreshed look with these adidas Legus shoes for men. The textile mesh upper is breathable and has a sock-like fit and the supportive cage in the shoe's midfoot provides midfoot lockdown. CLOUDFOAM gives instant step in-comfort, long-lasting responsive cushioning and a super-plush feel and the Rubber outsole gives ultimate durability."
"80","Men's adidas Originals CAMPUS Low Shoes","BZ0086","This men's classic sneaker stays close to its trendsetting '80s design, while staying modern for today's streets. Boasting a suede upper with contrast 3-Stripes and heel patch, these shoes feature a reinforced toe cap. The cupsole leaves a herringbone-pattern footprint for a retro twist."
"81","MEN'S ADIDAS RUNNING HELKIN 3.0 SHOES","CJ8117","Style and performance go hand in hand in this adidas Helkin 3.0 Running shoes for men. The breathable upper Knit-Mesh offers maximum ventilation. EVA midsole and rubber outsole."
"82","MEN'S ADIDAS RUNNING LEGUS 1.0 SHOES","CJ8073","Get maximum support, comfort and a refreshed look with these adidas Legus shoes for men. The textile mesh upper is breathable and has a sock-like fit and the supportive cage in the shoe's midfoot provides midfoot lockdown. CLOUDFOAM gives instant step in-comfort, long-lasting responsive cushioning and a super-plush feel and the Rubber outsole gives ultimate durability."
"83","Men's adidas Running Kollide Shoes","CL7551","Extremely functional and subtle running shoes for men. The breathable and lightweight textile upper offer extended ventilation and comfort. The Cloudfoam midsole gives you cushioning you need everyday and Rubber outsole provides durability."
"84","Men's adidas Running Edge PR Shoes","AC8122","With a springy midsole and breathable upper, these men's running shoes are inspired by a racing flat. Bounce provides flexible cushioning for energised comfort, and a mesh upper keeps them lightweight."
"85","Men's adidas Originals FuturePacer Shoes","CM8453","The Futurepacer reworks the revolutionary design of the 1984 Micropacer shoes to challenge old ideas of what a sneaker should look like. This futuristic style makes a statement with a fully reflective stretchy upper and a mix of premium leathers. A Boost midsole with textured EVA plugs returns energy with every stride."
"86","MEN'S ADIDAS ORIGINALS MICROPACER X R1 SHOES","EE3625","These shoes are a hybrid of retro and modern adidas designs. Made in leather with suede overlays, they combine the midsole look of the NMD_R1 with the vintage-tech upper of the 1984 Micropacer, born during an era when wearable technology was an exciting new concept. The Boost midsole adds durable energy return."
"87","Men's adidas Outdoor Andorian Shoes","CM0031","The adidas Andorian shoes for men are crafted with a strong, grippy outsole inspired by mountain bike tires, and a super durable Mesh and Synthetic upper. They come with Lightweight EVA midsole for stability and cushioning while the abrasion resistant rubber outsole provides aggressive traction for rough terrain."
"88","Men's adidas Sport Inspired Advantage Base Shoes","EE7697","A court look emerges on the streets. These shoes have a sleek textile upper and a textured rubber cupsole."
"89","Men's adidas Running Galaxy 4 Shoes","F36159","Add miles to your running regimen in these men's shoes. They have a durable and breathable mesh upper with a midfoot cage for added support and stability. The plush Cloudfoam midsole delivers ultra-soft cushioning."
"90","MEN'S ADIDAS ESSENTIALS EEZAY FLIP-FLOPS","F35028","These men's classic flip-flops offer a clean beach design. Featuring midsole cushioning, this essential footwear provides lightweight comfort in a simple silhouette."
"91","men's ADIDAS ORIGINALS PW HU HOLI STAN SMITH SHOES","AC7042","A style icon gets some love from one of today's top trendsetters. Pharrell Williams puts his creative spin on these shoes, which have all the clean, classic details of the beloved Stan Smith."
"92","MEN'S ADIDAS RUNNING ZETA 1.0 SHOES","CJ8053","Designed to go the distance, these adidas Zeta 1.0 running shoes for men give optimum cushioning to your feet with full-length CLOUDFOAM and its stretch Mesh upper inspires comfortable familiarity. It's smart style details balance the clean design and the rubber outsole provides best durability."
"93","Men's adidas Running PureBounce+ Clima Shoes","BC0836","These running shoes are designed with 360 degrees of ventilation to help you stay cool on hot days. They have a lightweight and breathable mesh upper. A wide forefoot provides a stable platform for lateral movement, and energised cushioning provides comfort and flexibility."
"94","Men's adidas Running Duramo 9 Shoes","F35275","These men's versatile running shoes are ideal for the treadmill or the trail. They feature a mesh upper for breathability and a seamless print overlay for additional support. Pillow-soft Cloudfoam cushions every stride, while the durable outsole holds up to everyday wear."
"95","MEN'S ADIDAS RUNNING HELKIN 3.0 SHOES","CJ8115","Style and performance go hand in hand in this adidas Helkin 3.0 Running shoes for men. The breathable upper Knit-Mesh offers maximum ventilation. EVA midsole and rubber outsole."
"96","MEN'S ADIDAS RUNNING ARIUS 1.0 SHOES","CJ8089","The adidas Arius 1.0 Running shoes for men feature a comfortable two-tone Mesh upper with They come with Lightstrike IMEVA midsole for long term lightweight cushioning and shock absorption with a full rubber outsole for durability."
"97","Men's adidas Originals Skateboarding Seeley Shoes","EE6128","Designed so they're ready-to-ride with no wear-in time, these shoes draw on adidas heritage and reimagine it specifically for skateboarding. An abrasion-resistant suede upper holds up to daily park sessions, while the textile lining keeps your feet comfortable on or off the board. Tonal 3-Stripes and a linear Trefoil logo give these shoes low-key adidas style."
"98","MEN'S ADIDAS RUNNING HELKIN 3.0 SHOES","CJ8118","Style and performance go hand in hand in this adidas Helkin 3.0 Running shoes for men. The breathable upper Knit-Mesh offers maximum ventilation. EVA midsole and rubber outsole."
"99","Men's adidas Running Grito Shoes","CL7328","Great everyday shoes for runners to go that extra mile. Features Textile Mesh upper for maximum ventilation, lightstrike EVA midsole with visible adiprene providing protection from harmful impact forces and durable Rubber outsole for long-lasting wear."
"100","Men's adidas Running Nepton 2.0 Shoes","CL7470","Energize your run while staying comfortable with this new design, your ride will be smooth and effortless. Breathable textile upper for maximum ventilation and a cushioned midsole provides all-day comfort with rubber outsole for best durability in high wear areas."
"101","Men's adidas Running Bound Shoes","CL7541","Sleek running shoes for men. These shoes have a lightweight look and feel in honeycomb mesh. Cloudfoam cushioning delivers superior step-in comfort."
"102","Men's adidas Outdoor Terra Light Sandals","CL9928","Step out in these adidas Terra Light sandals for men. Made with adjustable straps, the Synthetic upper has a adjustable straps with EVA midsole for stable cushioning and Textured footbed for comfort. They come with Traxion outsole which helps in wet conditions and suitable for light hikes."
"103","Men's adidas Swim Gladi 19 Slippers","CM0045","The adidas Gladi 19 Slippers for men. Features stylish webbing textile and synthetic straps, and textured rubber footbed and outsole."
"104","Men's adidas Running Torik Shoes","CL7599","A well cushioned shoe with a fresher look that will appeal to young runners. Features Mesh upper for maximum ventilation, lightstrike IMEVA midsole with visible adiprene providing protection from harmful impact forces and durable Rubber outsole for long-lasting wear."
"105","Men's adidas Toe Side II Slippers","CM0069","The adidas casual sandals for men with a striking camouflage design. Features stylish webbing straps, Diecut EVA midsole for stable cushioning and abrasion resistant rubber outsole with wet and dry traction pattern."
"107","Men's adidas Running Kollide Shoes","CL7552","Extremely functional and subtle running shoes for men. The breathable and lightweight textile upper offer extended ventilation and comfort. The Cloudfoam midsole gives you cushioning you need everyday and Rubber outsole provides durability."
"108","Men's adidas Sport Inspired Netpoint Shoes","EE9816","The adidas Netpoint shoes for men are inspired by the styles of 80s. The Ortholite cushioned sockliner provides comfort to the feet. It comes with a leather upper and the adidas embossed 3 stripes along with adidas wordmark makes them stylish."
"109","Men's adidas Running Whizz Shoes","CL7545","These men's running shoes keep you comfortable so you stay focused on your running goals. They feature a textile upper that wraps around the midfoot to give you stability where you need it most. Cloudfoam cushioning offers comfort with every stride, while a handy heel pull helps you get them on in a hurry."
"110","Women's adidas Originals Continental 80 Shoes","EE5060","Part of the Out Loud collection, these shoes celebrate those who dare to live life on their own terms. This version of the retro Continental 80 has a satin upper with bold prints inspired by vintage Italian textiles. The distinctive split cupsole has an EVA insert for a comfortable, flexible feel."
"111","Men's adidas Tennis Courtsmash Shoes","F36718","Take to the court with confidence in these men's tennis shoes. Designed for the casual player, they feature a durable and stable leather upper with mesh at the heel. Lightweight cushioning keeps you comfortable during long rallies, while a rubber outsole delivers strong grip."
"112","Men's adidas Outdoor Terra Light Sandals","CL9927","Step out in these adidas Terra Light sandals for men. Made with adjustable straps, the Synthetic upper has a adjustable straps with EVA midsole for stable cushioning and Textured footbed for comfort. They come with Traxion outsole which helps in wet conditions and suitable for light hikes."
"113","Men's adidas Running Sedna Shoes","CL7285","The adidas Running shoes for men. These lightweight shoes give all round comfort, cushioning, durability & support in a simplistic design. The combination of Textile-Mesh upper ensure breathability and durability while the Lightstrike EVA midsole provides premium cushioning. Full Rubber outsole provides durability."
"114","Men's adidas Running Nepton 2.0 Shoes","CL7471","Energize your run while staying comfortable with this new design, your ride will be smooth and effortless. Breathable textile upper for maximum ventilation and a cushioned midsole provides all-day comfort with rubber outsole for best durability in high wear areas."
"115","Men's adidas Running PureBounce+ Street Shoes","B96360","Made for fast runs on city streets, these shoes have a wide forefoot for added support and stability during side-to-side movement. Flexible cushioning delivers long-lasting comfort and a low-to-the-ground feel."
"116","Women's adidas Originals Deerupt Runner Shoes","EE5778","Proof that minimalism can be bold. These shoes put an innovative spin on adidas running heritage of the '80s. The mesh upper is covered in stretchy webbing that provides support and hugs the foot. Inside, zoned cushioning gives a soft, comfortable step-in feel."
"117","Women's adidas Originals Sleek Super Shoes","EE4519","Unabashedly feminine with modern sneaker style, these shoes offer clean lines and a retro vibe. They're made of soft leather and ride on a platform rubber outsole that adds extra attitude and a little lift. The tongue features shiny high-gloss leather and the sockliner flashes a floral print."
"118","Women's adidas Originals Sleek Super Shoes","EE4504","Unabashedly feminine with modern sneaker style, these shoes offer clean lines and a retro vibe. They're made of soft leather and ride on a platform rubber outsole that adds extra attitude and a little lift. The tongue features shiny high-gloss leather and the sockliner flashes a floral print."
"119","Women's adidas Originals Taekwondo Team Shoes","EE4697","This design is inspired by vintage Taekwondo styles originally worn to perfect high kicks and rapid foot strikes. The canvas shoes make a streetwear fashion statement as a chic, foot-hugging slip-on. They're shaped for a narrow, women's-specific fit and ride on a soft gum rubber outsole."
